"example"	"label"
"hier twittert das Team von Petra Pau/Marzahn-Hellersdorf #mahe_x000D_ PAUer für die LINKE"	"0 ökonomisch links + libertär"
"Die soziale Opposition: Feministisch. Sozialistisch. Friedlich. Für dich! 🕊🦺🌳✊"	"0 ökonomisch links + libertär"
"MdB DIE LINKE l Stellvertretende Fraktionsvorsitzende I verantwortlich für Arbeit, Soziales und Gesundheit I Gewerkschafterin I @linksfraktion I twittert selbst"	"0 ökonomisch links + libertär"
"MdB für die Menschen in der Städteregion Aachen. Mit Leidenschaft in Berlin. Altenpflegefachkraft und Sozi mit Herz."	"0 ökonomisch links + libertär"
"Mitglied des Bundestages | Sprecherin für Arbeitsmarkt- und Sozialpolitik @linksfraktion 🚩 Wahlkreis Reutlingen, Baden-Württemberg"	"0 ökonomisch links + libertär"
"Mitglied des Bundestages | Vorsitzende der @Linksfraktion_x000D_ https://t.co/R8w0c33WAh"	"0 ökonomisch links + libertär"
"MdB @Linksfraktion im Bundestag | Sprecherin für Migration, Familie und bürgerschaftliches Engagement | Federal Parl. Milletvekili | es twittern Gökay & Team"	"0 ökonomisch links + libertär"
"Von 2013-2021 war ich MdB in der #Linksfraktion und deren Sprecher für den Atomausstieg. #dieLinke"	"0 ökonomisch links + libertär"
"sozialistisch - links - demokratisch - antifaschistisch. Hier privat."	"0 ökonomisch links + libertär"
"1. PGF & kulturpolitischer Sprecher @Linksfraktion. Stellv. Vorsitzender @rosaluxstiftung. Hier twittern Jan & Team. _x000D_ 🐘 @jankorte@social.linksfraktion.de"	"0 ökonomisch links + libertär"
"Mitglied des Bundestages a.D. @gruenebundestag 🌻 in der 19. Wahlperiode. Wahlkreis Lörrach/Müllheim #Südbaden"	"1 ökonomisch neutral + libertär"
"MdB, Grüne, Freilandei, Juristin._x000D_ Meinung hier: rein privat"	"1 ökonomisch neutral + libertär"
"Parl. Staatssekretärin @BMUV, MdB @gruenebundestag, Diplom-Biologin (Dr. rer. nat.), Team-Tweets: T"	"1 ökonomisch neutral + libertär"
"Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für Frieden, Recht und Freiheit – Staatsministerin im Auswärtigen Amt | twittert hier ganz privat"	"1 ökonomisch neutral + libertär"
