"X","twitter_handle","example","user_id","party","label"
1789,"ABaerbock","Offizieller Twitter Account von Außenministerin Annalena Baerbock │ Official Twitter Account of Foreign Minister Annalena Baerbock",1269262387512979968,"Bündnis 90/Die Grünen",1
190,"ABaerbockArchiv","Dies ist ein Archiv des Twitter-Accounts von Annalena Baerbock für den Zeitraum bis 9.12.2021. Hier wird nicht mehr getwittert.",2179010672,"Bündnis 90/Die Grünen",1
920,"ACvA_MdL","Landtagsabgeordnete der @cdufraktionmv, stellv. Landesvorsitzende @CDUMV, Polizistin ????Sprecherin für Sicherheitspolitik ??",1218516623313319936,"CDU",3
822,"ADressel","Finanzsenator der Freien und Hansestadt Hamburg, Familienvater, Jurist, SPD-Kreisvorsitzender Wandsbek, direkt gewählt im WK Alstertal/Walddörfer, hier privat",1053198629700829952,"SPD",2
1202,"AG_AfD","Vorstehender der Bundestagsfraktion der Alternative für Deutschland. @AfD | Support",912612826928504960,"AfD",5
858,"AKammeyer","Abgeordnete der Hamburgischen Bürgerschaft Sprecherin für Wissenschaft und Forschung ?? #spd #hamburg #fcsp #billstedt",313162363,"SPD",2
192,"AKulitz","Außenhandelssprecher der FDP BT Fraktion | Mitglied Auswärtiger Ausschuss | Bild Johannes Wosilat | Hier twittern Alexander Kulitz (AK) und sein Team (TK).",1723275382,"FDP",4
1006,"ALueckMdL","SPD-Landtagsabgeordnete für #Loehne #Roedinghausen #Buende #Kirchlengern #Spenge #BadOeynhausen",816216216662589440,"SPD",2
328,"AMattfeldt","Seit 2009 direkt gewählter Bundestagsabgeordneter für den Osterholz - Verden im Bundesland Niedersachsen. Inhaber der Kgl. Preußischen Biermanufactur",23227001,"CDU",6
1725,"AMohrenberg","Abgeordneter @buergerschaftHH | stellv Vorsitzender @spdhh | macht was fürs Klima",1397930727707131904,"SPD",2
259,"ANiebler","MdEP für Oberbayern & München in der EVP, Vors. der CSU-Europagruppe & stv. CSU-Parteivorsitzende, ITRE & JURI ☞ Industriepolitik, Digitales, KI...",886220228,"CSU",3
