,user
0,ManjaSchuele
1,TeamPetraPau
2,TeamDieSchmidt
3,BerndBuchholz
4,ingrid_remmers
5,reinhardbrandl
6,PeterbeyerCDU
7,schwarz_spd
8,UweFe
9,HiltrudLotze
10,BerndSiebert
11,WHellmich
12,AfDimBundestag
13,spdbt
14,cducsupm
15,spdbt_netz
16,cducsubt
17,Linksfraktion
18,prof_schmidtke
19,charlotte_mdb
20,GZickenheiner
21,juergen_martens
22,thorsten_frei
23,hohmannmdb
24,MPatzeltCDU
25,DagmarFreitag13
26,ElisabethMotsc1
27,MichaelHennric2
28,StegemannAlbert
29,gitta_connemann
30,ruetzelbernd
31,SusanneFerschl
32,MaagKarin
33,eckhardgnodtke
34,HoffmannForest
35,dheidenblut
36,AntjeTillmann
37,BerndWestphal4
38,ClaudiaMollMdB
39,nicole_ae_bauer
40,_ThomasRachel
41,wiebkeesdar1
42,n_roettgen
43,jessica_tatti
44,DaniLudwigMdB
45,MarjaVoellers
46,DrRobbySchlund
47,mseesternpauly
48,WolfgangWiehle
49,RenataAlt_MdB
50,BrittaDassler
51,HerbrandMarkus
52,MdBKlein
53,NicoleWestig
54,ulrichlechte
55,ManuelaRottman
56,theliberalfrank
57,aggelidis_g
58,_MartinNeumann
59,bhoffmann_mdb
60,GeroHocker
61,HJ_Mueller_AfD
62,JoernKoenigAfD
63,KatjaKeul
64,FrStraetmanns
65,k_willkomm
66,KirstenKappert
67,TillMansmann
68,Erhard_Grundl
69,JudithSkudelny
70,Jacobi_AfD
71,margit_stumpp
72,MdB_Schreiber
73,estherdilcher
74,KatjaMast
75,MBiadaczMdB
76,busen_mdb
77,G_UllrichFDP
78,Amira_M_Ali
79,MieruchMario
80,Schmidt_MdB
81,reuther_bernd
82,axel_knoerig
83,christophploss
84,mdb_freihold
85,reinholdmdb
86,ChrWirthMdB
87,Martin_Sichert
88,JuergenBraunAfD
89,HartmutEbbing
90,jensmaierafd
91,drfriesenmdb
92,Th_Seitz_AfD
93,SteffenKotre
94,andreasbleckmdb
95,Brehm_inNBGNord
96,koehler_fdp
97,DrMEspendiller
98,BrunnerGanzOhr
99,volker_munz
100,danywagner_da
101,SchaeferCDU
102,carina_konrad
103,Martin_Hess_AfD
104,SybilleBenning
105,CorinnaMiazga
106,NKleinwaechter
107,S_Muenzenmaier
108,mvabercron
109,Meyer_FDP
110,sandra_weeser
111,JBrandenburgFDP
112,GustavHerzogMdB
113,AchimKessler
114,UdoHemmelgarn
115,KlausMindrup
116,NinaScheer_SPD
117,h_weyel
118,Alice_Weidel
119,Rene_Springer
120,c_bernstiel
121,Oehmeulrich
122,VoepelDirk
123,WSchinnenburg
124,HoubenReinhard
125,katrin_staffler
126,hans_michelbach
127,ProfMaier
128,StephPilsinger
129,M_HarderKuehnel
130,JoanaCotar
131,DrJoeWeingarten
132,PetrBystronAfD
133,DirkSpaniel
134,DerDanyal
135,mischrodi
136,MarcBernhardAfD
137,Dr_Rainer_Kraft
138,BraFDP
139,mueller_sepp
140,Matthiasnoelke
141,AkbulutGokay
142,Tino_Chrupalla
143,GruebelMdb
144,StefanKeuterAfD
145,MuellerChemnitz
146,FGuentzler
147,Paul_Podolay
148,Neumann_AfD
149,LeniBreymaier
150,Leif_Erik_Holm
151,josip_juratovic
152,SabinePoschmann
153,Marcus_Buehl
154,MdB_Ulrike_Bahr
155,Schneider_AfD
156,Jochen_Haug
157,StBrandner
158,DrLaunert
159,StefingerMdB
160,RyglewskiS
161,DorisAchelwilm
162,dr_tiemann
163,HajdukBundestag
164,MichaelFrieser
165,ZdebelHubertus
166,Witt_Uwe
167,ElsnervonGronow
168,NorbertMuellerP
169,MichaelKuffer
170,jankortemdb
171,Marc_Jongen
172,stamm_fibich
173,KorkmazGT
174,YvonneMagwas
175,UdoSchiefner
176,thlutze
177,DerLenzMdB
178,CarstenTraeger
179,Toens_NRW04
180,vonGottberg_AfD
181,Jan_Nolte_AfD
182,WaldemarHerdt
183,Ulrich_Oehme
184,PeterFelser
185,matthiasbartke
186,AWidmannMauz
187,victorperli
188,stadler_svenja
189,Thomas_Ehrhorn
190,AndreasSteier
191,TorbjoernKartes
192,siegbert_droese
193,Heiko_Wildberg
194,MarkusPaschke
195,Nicole_Hoechst
196,MAStrackZi
197,BerndBaumannAfD
198,BerndBaumannAfD
199,michael_g_link
200,GabyKatzmarek
201,Peter_Stein_CDU
202,MarcusHeld_SPD
203,DeRidder_MdB
204,UllaJelpke
205,AlexanderRadwan
206,MichaelGrossAWO
207,fritzfelgentreu
208,NBaradari
209,cdu_schweiger
210,KoobMar
211,Lothar_Binding
212,Conni_Moehring
213,uwe_kamann
214,M_Reichardt_AfD
215,Renner_AfD
216,Huber_AfD
217,TobiasMPeterka
218,Kai_Whittaker
219,GerdesMdB
220,BetMueller
221,marianwendt
222,RonjaKemmer
223,muellerboehm
224,malsackwinkeman
225,OWvonHoltz
226,LehmannSpd
227,DietmarBartsch
228,MarkusTressel
229,TErndl
230,ABaerbockArchiv
231,thomas_jurk
232,Dr_Roy_Kuehne
233,dittmarsabine
234,HoldingEuropa
235,PeterHeidtFDP
236,AKulitz
237,Hansjoerg_Durz
238,annachristmann
239,michel_brandt_
240,HHirte
241,Frank_Pasemann
242,SusannRuethrich
243,AndreaLindholz
244,Kaiser_SPD
245,nord_th
246,AfDProtschka
247,Hermiworld
248,oezdemir_spd
249,joerg_cezanne
250,MarkHauptmann
251,jschraps
252,KirstenTackmann
253,Florian_Ossner
254,KayGottschalk1
255,AlexanderSNeu
256,MatthiasHauer
257,bela_bach
258,ChrisKuehn_mdb
259,Achim_P
260,s_schwartze
261,EUTheurer
262,KarstenMoering
263,ManderlaGisela
264,SylviaPantel
265,sebast_hartmann
266,berlinliebich
267,MetinHakverdi
268,arnoklare
269,JanMetzler
270,gabiweberspd
271,A_Gloeckner
272,MechthildHeil
273,StefanRouenhoff
274,GruenClaudia
275,WilfriedOellers
276,GregorGysi
277,MarcusWeinberg
278,ulschzi
279,NicoleGohlke
280,SylviaGabelmann
281,GtzFrmming
282,ullaihnen
283,FlorianPost
284,JanaSchimke
285,MatthiasGastel
286,SteffenSonja
287,HaraldWeinberg
288,JuttaKrellmann
289,LieblingXhain
290,MaikBeermann
291,MTodtenhausen
292,danielakolbe
293,Timon_Gremmels
294,FrankeEdgar
295,MargareteBause
296,KonstantinKuhle
297,kottinguhl
298,KLeikert
299,helgelindh
300,JensZSPD
301,StefanGelbhaar
302,ch_buchholz
303,DFoest
304,michael_thews
305,uweschummer
306,hahnflo
307,armin_schuster
308,JoWadephul
309,UlliNissen
310,PSchnieder
311,PeterAumer
312,HeikeHaensel
313,KarambaDiaby
314,pascalmeiser
315,GaHeinrich
316,Petra_Sitte_MdB
317,ThomasHitschler
318,PaulZiemiak
319,R_Hartwig_AfD
320,badulrichmartha
321,SteinekeCDU
322,SabineLeidig
323,Andi_Wagner
324,KaczmarekOliver
325,Katrin_Werner
326,filizgreen
327,BaerbelKofler
328,jensbeeck
329,SBarrientosK
330,Pohl_MdB
331,LindaTeuteberg
332,Axel_Fischer
333,Johann_Saathoff
334,MatthiasHeider
335,markuskurthmdb
336,Lambsdorff
337,JensKoeppen
338,HESommer
339,IreneMihalic
340,lgbeutin
341,anjaweisgerber
342,HildeMattheis
343,NiemaMovassat
344,TinoSorge
345,KaiGehring
346,fdp_hessel
347,UteVogt
348,stephankuehn
349,PeterBoehringer
350,schneidercar
351,dieschmidt
352,BjoernSimon
353,michaelleutert
354,hacker_fdp
355,Oliver_Krischer
356,AndrejHunko
357,JoSteiniger
358,FalkoMohrs
359,jungeinberlin
360,StephanThomae
361,LINKEPELLI
362,MartinaRenner
363,UlrichLange
364,KarinStrenz
