"X","twitter_handle","example","user_id","party","label"
1,"TeamPetraPau","hier twittert das Team von Petra Pau/Marzahn-Hellersdorf #mahe PAUer für die LINKE",1683825126,"DIE LINKE","0 ökonomisch links + libertär"
11,"Linksfraktion","Die soziale Opposition: Feministisch. Sozialistisch. Friedlich. Für dich! 🕊🦺🌳✊",18933321,"DIE LINKE","0 ökonomisch links + libertär"
22,"SusanneFerschl","MdB DIE LINKE l Stellvertretende Fraktionsvorsitzende I verantwortlich für Arbeit, Soziales und Gesundheit I Gewerkschafterin I @linksfraktion I twittert selbst",1096063189229330048,"DIE LINKE","0 ökonomisch links + libertär"
27,"ClaudiaMollMdB","MdB für die Menschen in der Städteregion Aachen. Mit Leidenschaft in Berlin. Altenpflegefachkraft und Sozi mit Herz.",1070312229139025920,"SPD","0 ökonomisch links + libertär"
32,"jessica_tatti","Mitglied des Bundestages | Sprecherin für Arbeitsmarkt- und Sozialpolitik @linksfraktion 🚩 Wahlkreis Reutlingen, Baden-Württemberg",1020297087970220032,"DIE LINKE","0 ökonomisch links + libertär"
63,"Amira_M_Ali","Mitglied des Bundestages | Vorsitzende der @Linksfraktion https://t.co/R8w0c33WAh",932029228886065024,"DIE LINKE","0 ökonomisch links + libertär"
116,"AkbulutGokay","MdB @Linksfraktion im Bundestag | Sprecherin für Migration, Familie und bürgerschaftliches Engagement | Federal Parl. Milletvekili | es twittern Gökay & Team",800257587510276992,"DIE LINKE","0 ökonomisch links + libertär"
136,"ZdebelHubertus","Von 2013-2021 war ich MdB in der #Linksfraktion und deren Sprecher für den Atomausstieg. #dieLinke",2557858122,"DIE LINKE","0 ökonomisch links + libertär"
139,"NorbertMuellerP","sozialistisch - links - demokratisch - antifaschistisch. Hier privat.",2265222913,"DIE LINKE","0 ökonomisch links + libertär"
121,"jankortemdb","1. PGF & kulturpolitischer Sprecher @Linksfraktion. Stellv. Vorsitzender @rosaluxstiftung. Hier twittern Jan & Team. 🐘 @jankorte@social.linksfraktion.de",2162673821,"DIE LINKE","0 ökonomisch links + libertär"
12,"GZickenheiner","Mitglied des Bundestages a.D. @gruenebundestag 🌻 in der 19. Wahlperiode. Wahlkreis Lörrach/Müllheim #Südbaden",1201838123821199872,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
22,"ManuelaRottman","MdB, Grüne, Freilandei, Juristin. Meinung hier: rein privat",982735266783232000,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
28,"bhoffmann_mdb","Parl. Staatssekretärin @BMUV, MdB @gruenebundestag, Diplom-Biologin (Dr. rer. nat.), Team-Tweets: T",971020122220721024,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
