X;twitter_handle;profile;user_id;party
0;ManjaSchuele;Ministerin für Wissenschaft, Forschung und Kultur denn #ZukunftwirdinBrandenburggemacht, hier privat;8,27091E+17;SPD
1;TeamPetraPau;"hier twittert das Team von Petra Pau/Marzahn-Hellersdorf #mahe
PAUer für die LINKE";1683845126;DIE LINKE
2;TeamDieSchmidt;Hier tweetet, textet und publiziert das Team der SPD Bundestagsabgeordneten Dagmar Schmidt @dieschmidt (Lahn-Dill-Kreis, Wettenberg, Biebertal).;1377117206;SPD
3;reinhardbrandl;"Mitglied im Verteidigungsausschuss 🇺🇦 
Mitglied im Ausschuss für Digitales 
Sprecher für Digitales 
@cducsubt";262730721;CSU
4;schwarz_spd;SPD Bundestagskandidat für Bamberg und Forchheim Andreas Schwarz.;53617577;SPD
5;HiltrudLotze;Sozialdemokratin | Lueneburg | Mitglied des Deutschen Bundestages;38272947;SPD
6;AfDimBundestag;AfD-Fraktion im Deutschen Bundestag https://t.co/Ykqu1braRO;9,10914E+17;AfD
7;spdbt;Hier twittert der Newsdesk der SPD-Bundestagsfraktion. Impressum, aktuelle Podcast-Folgen und spannende Links: https://t.co/e4l15mSRwd;347792540;SPD
8;cducsupm;"Alle Pressemitteilungen der @cducsubt auf einen Blick!
Hier wird automatisiert getwittert • Impressum: https://t.co/KGbVUwXufa";308415277;CSU
9;spdbt_netz;Hier twittert die Arbeitsgruppe Digitales der SPD-Bundestagsfraktion. Impressum: https://t.co/si4fLgkKg8;127620350;SPD
10;cducsubt;Die Unionsfraktion im Deutschen Bundestag • Fraktionschef: @_FriedrichMerz  • Sprecher: @warrings • Impressum: https://t.co/mrapTIrRLC;46085533;CSU
11;Linksfraktion;Die soziale Opposition: Feministisch. Sozialistisch. Friedlich. Für dich! 🕊🦺🌳✊;18933321;DIE LINKE
12;GZickenheiner;Mitglied des Bundestages a.D. @gruenebundestag 🌻 in der 19. Wahlperiode. Wahlkreis Lörrach/Müllheim #Südbaden;1,20184E+18;Bündnis 90/Die Grünen
13;juergen_martens;💼 Bundestagsabgeordneter 17-21 | ⚖️ Rechtspolitischer Sprecher 17-21 | Sächs. Justizminister a.D.;1,18769E+18;FDP
14;thorsten_frei;MdB •Erster Parlamentarischer Geschäftsführer @cducsubt •Stv. Landesvorsitzender @cdu_bw •Oberbürgermeister a.D. •Jurist •Familienvater;1,1816E+18;CDU
15;MPatzeltCDU;@CDU MdB a.D. für Frankfurt(Oder)- Oder-Spree. Themen: #Familien, #Menschenrechte & #Ehrenamt;1,15907E+18;CDU
