,user,profile
0,ManjaSchuele,"Ministerin für Wissenschaft, Forschung und Kultur denn #ZukunftwirdinBrandenburggemacht, hier privat"
1,TeamPetraPau,"hier twittert das Team von Petra Pau/Marzahn-Hellersdorf #mahe
PAUer für die LINKE"
2,TeamDieSchmidt,"Hier tweetet, textet und publiziert das Team der SPD Bundestagsabgeordneten Dagmar Schmidt @dieschmidt (Lahn-Dill-Kreis, Wettenberg, Biebertal)."
3,reinhardbrandl,"Mitglied im Verteidigungsausschuss 🇺🇦 
Mitglied im Ausschuss für Digitales 
Sprecher für Digitales 
@cducsubt"
4,schwarz_spd,SPD Bundestagskandidat für Bamberg und Forchheim Andreas Schwarz.
5,HiltrudLotze,Sozialdemokratin | Lueneburg | Mitglied des Deutschen Bundestages
6,AfDimBundestag,AfD-Fraktion im Deutschen Bundestag https://t.co/Ykqu1braRO
7,spdbt,"Hier twittert der Newsdesk der SPD-Bundestagsfraktion. Impressum, aktuelle Podcast-Folgen und spannende Links: https://t.co/e4l15mSRwd"
8,cducsupm,"Alle Pressemitteilungen der @cducsubt auf einen Blick!
Hier wird automatisiert getwittert • Impressum: https://t.co/KGbVUwXufa"
9,spdbt_netz,Hier twittert die Arbeitsgruppe Digitales der SPD-Bundestagsfraktion. Impressum: https://t.co/si4fLgkKg8
10,cducsubt,Die Unionsfraktion im Deutschen Bundestag • Fraktionschef: @_FriedrichMerz  • Sprecher: @warrings • Impressum: https://t.co/mrapTIrRLC
11,Linksfraktion,Die soziale Opposition: Feministisch. Sozialistisch. Friedlich. Für dich! 🕊🦺🌳✊
12,GZickenheiner,Mitglied des Bundestages a.D. @gruenebundestag 🌻 in der 19. Wahlperiode. Wahlkreis Lörrach/Müllheim #Südbaden
13,juergen_martens,💼 Bundestagsabgeordneter 17-21 | ⚖️ Rechtspolitischer Sprecher 17-21 | Sächs. Justizminister a.D.
14,thorsten_frei,MdB •Erster Parlamentarischer Geschäftsführer @cducsubt •Stv. Landesvorsitzender @cdu_bw •Oberbürgermeister a.D. •Jurist •Familienvater
15,MPatzeltCDU,"@CDU MdB a.D. für Frankfurt(Oder)- Oder-Spree. Themen: #Familien, #Menschenrechte & #Ehrenamt"
16,DagmarFreitag13,MdB 1994-2021 • SPD • Transatlantikerin  • Vors. Sport-Ausschuss 2009-2021 • Sauerland • Leichtathletik • Anti-Doping • True Athletes •
17,ElisabethMotsc1,Mitglied des Deutschen Bundestages von 2013-2021 |Staatsrätin a.D. | Bremen
18,MichaelHennric2,Bundestagsabgeordneter aus dem Wahlkreis Nürtingen
19,StegemannAlbert,Agrarpolitischer Sprecher der CDU/CSU-Bundestagsfraktion
20,gitta_connemann,Bundesvorsitzende @MIT_bund
21,ruetzelbernd,MdB | Main-Spessart/Miltenberg | Vorsitzender des Ausschusses Arbeit und Soziales | SPD-Bezirksvorsitzender Unterfranken
22,SusanneFerschl,"MdB DIE LINKE l Stellvertretende Fraktionsvorsitzende I verantwortlich für Arbeit, Soziales und Gesundheit I Gewerkschafterin I @linksfraktion I twittert selbst"
23,MaagKarin,Unparteiisches Mitglied beim GBA ehem.Gesundheitspolitische Sprecherin der CDU/CSU Fraktion
24,HoffmannForest,MdB | FDP-Fraktion | Stv. Vorsitzender des Ausschusses für wirtschaftliche Zusammenarbeit und Entwicklung | Südbaden | Förster | Bürgermeister a.D.
25,AntjeTillmann,"CDU Bundestagsabgeordnete für Erfurt, Weimar und das Grammetal - Finanzpolitische Sprecherin der CDU/CSU- Bundestagsfraktion"
26,BerndWestphal4,"politisch, pragmatisch, SPD"
27,ClaudiaMollMdB,MdB für die Menschen in der Städteregion Aachen. Mit Leidenschaft in Berlin. Altenpflegefachkraft und Sozi mit Herz.
28,nicole_ae_bauer,Mitglied des Bundestages für Niederbayern | FDP | Sprecherin für Frauenpolitik und Diversity | Mittelstand & Innovation | Ingenieurin 🚀
29,_ThomasRachel,"direkt gewählt für den Kreis Düren🍀, NRW | Parl. Staatssekretär a.D. | Religionspolitischer Sprecher @cducsubt | Entwicklungspolitik🌾| Auswärtiges 🤝🌎"
30,wiebkeesdar1,Bundestagsabgeordnete. Sozialdemokratin. Bielefelderin.
31,n_roettgen,Mitglied des Deutschen Bundestages | Auswärtiger Ausschuss 🌏 | Optimismus 🚀 Europa 🇪🇺 und Espresso ☕️
32,jessica_tatti,"Mitglied des Bundestages | Sprecherin für Arbeitsmarkt- und Sozialpolitik @linksfraktion 🚩 Wahlkreis Reutlingen, Baden-Württemberg"
33,DaniLudwigMdB,"Bundestagsabgeordnete der @CSU    Ausschussvorsitzende, Wahlkreis Rosenheim / Bayern, Vorsitzende @brkrosenheim"
34,MarjaVoellers,"Bundestagsabgeordnete @spdbt für #Schaumburg & #Nienburg, #Niedersachsen | #Verteidigung, #Bundeswehr, #Bildung, #Digitalisierung | Kaffee, Lehrerin, @seeheimer"
35,DrRobbySchlund,"ist ein deutscher Politiker (AfD) und seit 2017 Mitglied des Deutschen Bundestages.

is a German politician (AfD) and member of the German Bundestag since 2017."
36,mseesternpauly,Mitglied des Bundestages | Familienpolitischer Sprecher @fdpbt | Osnabrücker Land | https://t.co/fS4hk7f7An
37,WolfgangWiehle,"Mitglied des deutschen Bundestages (AfD), Mitglied des Haushaltsausschusses und des Verkehrsausschusses"
38,RenataAlt_MdB,MdB | Vorsitzende des Ausschusses für Menschenrechte und humanitäre Hilfe | Mitglied @fdpbt-Fraktionsvorstand
39,BrittaDassler,Bundestagsabgeordnete aus Herzogenaurach für die @FDP | Sportpolitische Sprecherin der @fdpbt
40,HerbrandMarkus,"MdB | Finanzpolitischer Sprecher und Obmann im #Finanzausschuss | #FDP | #Eifel | Begeisterung für #Politik, (Rock-)Musik, @fckoeln & ausgiebige Wanderungen"
41,MdBKlein,Landesgruppenchef der @fdplgby Bundestagsabgeordneten #MdB | Obmann im Haushaltsausschuss für die @fdpbt | Stadtrat in Aschaffenburg
42,NicoleWestig,#MdB | Pflegepolitische Sprecherin @fdpbt
43,ulrichlechte,MdB aus Regensburg | Außenpolitischer Sprecher @fdpbt | Obmann im Auswärtigen Ausschuss | Stellv. Landesvorsitzender @fdpbay
44,ManuelaRottman,"MdB, Grüne, Freilandei, Juristin.
Meinung hier: rein privat"
45,theliberalfrank,Für die @fdpsachsen Mitglied des Deutschen Bundestages | @fdpbt | Auswärtiger Ausschuss | Freiheit ist alles außer selbstverständlich | Stadtrat in Chemnitz
46,aggelidis_g,"Mitglied des Bundestages 2017 -2021 für die FDP | Berater für Finanzplanung und Entwicklung, nachhaltige Geldanlagen und Stiftungen"
47,_MartinNeumann,Mitglied des Vorstandes @FDP_Brandenburg | Mitglied des Deutschen Bundestag @fdpbt 2009-2013 / 2017-2021 | Energiepolitik/Bildungspolitik/Forschungspolitik
48,bhoffmann_mdb,"Parl. Staatssekretärin @BMUV, MdB @gruenebundestag, Diplom-Biologin (Dr. rer. nat.), Team-Tweets: T"
49,GeroHocker,Sprecher für Landwirtschaft und Ernährung bei @fdpbt
50,JoernKoenigAfD,MdB und sportpolitischer Sprecher der @AfD Bundestagsfraktion. Weiterer Schwerpunkt: Digitale Finanzwirtschaft / Kreisvorsitzender Hannover Stadt.
51,KatjaKeul,"Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für Frieden, Recht und Freiheit – Staatsministerin im Auswärtigen Amt | twittert hier ganz privat"
52,FrStraetmanns,"Ostwestfale seit Geburt! Zur Zeit aktiv in MV, Läufer, Fußballer und Camper .Dies ist mein privater Account!"
53,k_willkomm,"Rechtsanwältin, Aachen, Mitglied Deutscher Bundestag 2017 - 2021, FDP, immer liberal"
54,KirstenKappert,"Bundestagsabgeordnete für Bremen von @die_gruenen, amtierende Vorsitzende des Gesundheitsausschuss #Feminismus #Cannabis #decolonize #Bremen"
55,TillMansmann,"Südhessisches MdB | Entwicklungspolitischer Sprecher @fdpbt | Innovationsbeauftragter ""Grüner Wasserstoff"" @BMBF_Bund | Mitglied im Finanzausschuss"
56,Erhard_Grundl,im #Bundestag für @GrueneBundestag / #Niederbayern/ Sprecher für #Kulturpolitik und #Medienpolitik/ Auswärtige Kultur- & Bildungspolitik/ IG: erhard.grundl
57,JudithSkudelny,Generalsekretärin der FDP BaWü | Mitglied des Deutschen Bundestags | Sprecherin für Umwelt und Verbraucherschutz | Rechtsanwältin | Wahlkreis Stuttgart 1
58,Jacobi_AfD,"Nein.
Nicht F. Jacobi,
ein anderer!"
59,KatjaMast,"Im Deutschen Bundestag für Pforzheim/Enzkreis, 1. Parlamentarische Geschäftsführerin der SPD-Bundestagsfraktion (@spdbt)."
60,MBiadaczMdB,"🏛 im Bundestag für den Landkreis Böblingen | 🖤 CDUler | 🦾 Digitales, Arbeit & Soziales | 🇪🇺 überzeugter Europäer"
61,busen_mdb,Abgeordneter des Deutschen Bundestages aus dem Münsterland. Mitglied der @fdp & @fdpbt
62,G_UllrichFDP,"Bundestagsabgeordneter, Wirtschaftsausschuss | MdB @fdpbt 🟡 Bundesvorstand @fdp | stv. Landesvorsitzender @fdp_thueringen 🆕 https://t.co/dLbBFjNIXZ"
63,Amira_M_Ali,"Mitglied des Bundestages | Vorsitzende der @Linksfraktion
https://t.co/R8w0c33WAh"
64,MieruchMario,"Dipl.-Ing.(BA) Mechatronik | industrial automation | kämpft für das freie Mandat | Bundesvorsitzender BFA e.V. | DIG Berlin/BBG |
Glaubwürdigkeit & Integrität"
65,Schmidt_MdB,"Oberpfälzer • tourismuspolit. Sprecher @GrueneBundestag | #Verbraucherschutz | nachhaltiger #Tourismus | #Altersvorsorge | #Kommunalfinanzen 
•Team twittert mit"
66,reuther_bernd,"Liberaler MdB | Verkehrspolitischer Sprecher | Mitglied im Sportausschuss | Kreisvorsitzender FDP Wesel |
20. Wahlperiode: Mehr Fortschritt wagen!"
67,axel_knoerig,Vorsitzender der Arbeitnehmergruppe der @cducsubt; Direkt gewählter MdB für den Wahlkreis Diepholz/Nienburg I; Stv. Vorsitzender der @CDA_Bund
68,christophploss,🇪🇺 Leidenschaftlicher Europäer | 🇩🇪 Bundestagsabgeordneter @cducsubt |📍Wahlkreis Hamburg-Nord/Alstertal
69,reinholdmdb,Bundestagsabgeordneter für @FDP_MV | Vorsitzender Landesgruppe Ost @fdpbt | Beauftragter für maritime Wirtschaft | Mitglied im Bauausschuss
70,ChrWirthMdB,"Dr. Christian Wirth, für das #Saarland und die #AfD im Bundestag"
71,Martin_Sichert,"Hier twittert Martin Sichert, Gesundheitspolitischer Sprecher der AfD im Deutschen Bundestag"
72,JuergenBraunAfD,"@AfDimBundestag-Abgeordneter | Sprecher für #Menschenrechte, Obmann im Ausschuß für Menschenrechte im #Bundestag; #Umweltausschuß | https://t.co/YlgpsEon92"
73,HartmutEbbing,Mitglied des Deutschen Bundestags - WK Steglitz-Zehlendorf -  Kulturpolitischer Sprecher der @fdpbt und Stellvertretendes Mitglied im Finanzausschuss
74,Th_Seitz_AfD,Rechtspolitischer Sprecher der @AfDimBundestag und Mitglied des Kreistages des Ortenaukreises
75,SteffenKotre,MdB 20. Deutscher @Bundestag | Energiepolitscher Sprecher der AfD im Bundestag | Tweets: SK&Team
76,andreasbleckmdb,"Mitglied der @AfDimBundestag, Umweltpolitiker, Fußballschiedsrichter, verheiratet, konfessionslos"
77,Brehm_inNBGNord,Direkt gewählter Abgeordneter im Wahlkreis Nürnberg-Nord | Finanz- und haushaltspolitischer Sprecher der CSU im Deutschen Bundestag | Mitglied im CSU-Präsidium
