,user,profile
0,ManjaSchuele,"Ministerin für Wissenschaft, Forschung und Kultur denn #ZukunftwirdinBrandenburggemacht, hier privat"
1,TeamPetraPau,"hier twittert das Team von Petra Pau/Marzahn-Hellersdorf #mahe
PAUer für die LINKE"
2,TeamDieSchmidt,"Hier tweetet, textet und publiziert das Team der SPD Bundestagsabgeordneten Dagmar Schmidt @dieschmidt (Lahn-Dill-Kreis, Wettenberg, Biebertal)."
3,BerndBuchholz,
4,ingrid_remmers,
5,reinhardbrandl,"Mitglied im Verteidigungsausschuss 🇺🇦 
Mitglied im Ausschuss für Digitales 
Sprecher für Digitales 
@cducsubt"
6,PeterbeyerCDU,
7,schwarz_spd,SPD Bundestagskandidat für Bamberg und Forchheim Andreas Schwarz.
8,UweFe,
9,HiltrudLotze,Sozialdemokratin | Lueneburg | Mitglied des Deutschen Bundestages
10,BerndSiebert,
11,WHellmich,
12,AfDimBundestag,AfD-Fraktion im Deutschen Bundestag https://t.co/Ykqu1braRO
13,spdbt,"Hier twittert der Newsdesk der SPD-Bundestagsfraktion. Impressum, aktuelle Podcast-Folgen und spannende Links: https://t.co/e4l15mSRwd"
14,cducsupm,"Alle Pressemitteilungen der @cducsubt auf einen Blick!
Hier wird automatisiert getwittert • Impressum: https://t.co/KGbVUwXufa"
15,spdbt_netz,Hier twittert die Arbeitsgruppe Digitales der SPD-Bundestagsfraktion. Impressum: https://t.co/si4fLgkKg8
16,cducsubt,Die Unionsfraktion im Deutschen Bundestag • Fraktionschef: @_FriedrichMerz  • Sprecher: @warrings • Impressum: https://t.co/mrapTIrRLC
17,Linksfraktion,Die soziale Opposition: Feministisch. Sozialistisch. Friedlich. Für dich! 🕊🦺🌳✊
18,prof_schmidtke,
19,charlotte_mdb,
20,GZickenheiner,Mitglied des Bundestages a.D. @gruenebundestag 🌻 in der 19. Wahlperiode. Wahlkreis Lörrach/Müllheim #Südbaden
21,juergen_martens,💼 Bundestagsabgeordneter 17-21 | ⚖️ Rechtspolitischer Sprecher 17-21 | Sächs. Justizminister a.D.
22,thorsten_frei,MdB •Erster Parlamentarischer Geschäftsführer @cducsubt •Stv. Landesvorsitzender @cdu_bw •Oberbürgermeister a.D. •Jurist •Familienvater
23,hohmannmdb,
24,MPatzeltCDU,"@CDU MdB a.D. für Frankfurt(Oder)- Oder-Spree. Themen: #Familien, #Menschenrechte & #Ehrenamt"
25,DagmarFreitag13,MdB 1994-2021 • SPD • Transatlantikerin  • Vors. Sport-Ausschuss 2009-2021 • Sauerland • Leichtathletik • Anti-Doping • True Athletes •
26,ElisabethMotsc1,Mitglied des Deutschen Bundestages von 2013-2021 |Staatsrätin a.D. | Bremen
27,MichaelHennric2,Bundestagsabgeordneter aus dem Wahlkreis Nürtingen
28,StegemannAlbert,Agrarpolitischer Sprecher der CDU/CSU-Bundestagsfraktion
29,gitta_connemann,Bundesvorsitzende @MIT_bund
30,ruetzelbernd,MdB | Main-Spessart/Miltenberg | Vorsitzender des Ausschusses Arbeit und Soziales | SPD-Bezirksvorsitzender Unterfranken
31,SusanneFerschl,"MdB DIE LINKE l Stellvertretende Fraktionsvorsitzende I verantwortlich für Arbeit, Soziales und Gesundheit I Gewerkschafterin I @linksfraktion I twittert selbst"
32,MaagKarin,Unparteiisches Mitglied beim GBA ehem.Gesundheitspolitische Sprecherin der CDU/CSU Fraktion
33,eckhardgnodtke,
34,HoffmannForest,MdB | FDP-Fraktion | Stv. Vorsitzender des Ausschusses für wirtschaftliche Zusammenarbeit und Entwicklung | Südbaden | Förster | Bürgermeister a.D.
35,dheidenblut,
36,AntjeTillmann,"CDU Bundestagsabgeordnete für Erfurt, Weimar und das Grammetal - Finanzpolitische Sprecherin der CDU/CSU- Bundestagsfraktion"
37,BerndWestphal4,"politisch, pragmatisch, SPD"
38,ClaudiaMollMdB,MdB für die Menschen in der Städteregion Aachen. Mit Leidenschaft in Berlin. Altenpflegefachkraft und Sozi mit Herz.
39,nicole_ae_bauer,Mitglied des Bundestages für Niederbayern | FDP | Sprecherin für Frauenpolitik und Diversity | Mittelstand & Innovation | Ingenieurin 🚀
40,_ThomasRachel,"direkt gewählt für den Kreis Düren🍀, NRW | Parl. Staatssekretär a.D. | Religionspolitischer Sprecher @cducsubt | Entwicklungspolitik🌾| Auswärtiges 🤝🌎"
41,wiebkeesdar1,Bundestagsabgeordnete. Sozialdemokratin. Bielefelderin.
42,n_roettgen,Mitglied des Deutschen Bundestages | Auswärtiger Ausschuss 🌏 | Optimismus 🚀 Europa 🇪🇺 und Espresso ☕️
43,jessica_tatti,"Mitglied des Bundestages | Sprecherin für Arbeitsmarkt- und Sozialpolitik @linksfraktion 🚩 Wahlkreis Reutlingen, Baden-Württemberg"
44,DaniLudwigMdB,"Bundestagsabgeordnete der @CSU    Ausschussvorsitzende, Wahlkreis Rosenheim / Bayern, Vorsitzende @brkrosenheim"
45,MarjaVoellers,"Bundestagsabgeordnete @spdbt für #Schaumburg & #Nienburg, #Niedersachsen | #Verteidigung, #Bundeswehr, #Bildung, #Digitalisierung | Kaffee, Lehrerin, @seeheimer"
46,DrRobbySchlund,"ist ein deutscher Politiker (AfD) und seit 2017 Mitglied des Deutschen Bundestages.

is a German politician (AfD) and member of the German Bundestag since 2017."
47,mseesternpauly,Mitglied des Bundestages | Familienpolitischer Sprecher @fdpbt | Osnabrücker Land | https://t.co/fS4hk7f7An
48,WolfgangWiehle,"Mitglied des deutschen Bundestages (AfD), Mitglied des Haushaltsausschusses und des Verkehrsausschusses"
49,RenataAlt_MdB,MdB | Vorsitzende des Ausschusses für Menschenrechte und humanitäre Hilfe | Mitglied @fdpbt-Fraktionsvorstand
50,BrittaDassler,Bundestagsabgeordnete aus Herzogenaurach für die @FDP | Sportpolitische Sprecherin der @fdpbt
51,HerbrandMarkus,"MdB | Finanzpolitischer Sprecher und Obmann im #Finanzausschuss | #FDP | #Eifel | Begeisterung für #Politik, (Rock-)Musik, @fckoeln & ausgiebige Wanderungen"
52,MdBKlein,Landesgruppenchef der @fdplgby Bundestagsabgeordneten #MdB | Obmann im Haushaltsausschuss für die @fdpbt | Stadtrat in Aschaffenburg
53,NicoleWestig,#MdB | Pflegepolitische Sprecherin @fdpbt
54,ulrichlechte,MdB aus Regensburg | Außenpolitischer Sprecher @fdpbt | Obmann im Auswärtigen Ausschuss | Stellv. Landesvorsitzender @fdpbay
55,ManuelaRottman,"MdB, Grüne, Freilandei, Juristin.
Meinung hier: rein privat"
56,theliberalfrank,Für die @fdpsachsen Mitglied des Deutschen Bundestages | @fdpbt | Auswärtiger Ausschuss | Freiheit ist alles außer selbstverständlich | Stadtrat in Chemnitz
57,aggelidis_g,"Mitglied des Bundestages 2017 -2021 für die FDP | Berater für Finanzplanung und Entwicklung, nachhaltige Geldanlagen und Stiftungen"
58,_MartinNeumann,Mitglied des Vorstandes @FDP_Brandenburg | Mitglied des Deutschen Bundestag @fdpbt 2009-2013 / 2017-2021 | Energiepolitik/Bildungspolitik/Forschungspolitik
59,bhoffmann_mdb,"Parl. Staatssekretärin @BMUV, MdB @gruenebundestag, Diplom-Biologin (Dr. rer. nat.), Team-Tweets: T"
60,GeroHocker,Sprecher für Landwirtschaft und Ernährung bei @fdpbt
61,HJ_Mueller_AfD,
62,JoernKoenigAfD,MdB und sportpolitischer Sprecher der @AfD Bundestagsfraktion. Weiterer Schwerpunkt: Digitale Finanzwirtschaft / Kreisvorsitzender Hannover Stadt.
63,KatjaKeul,"Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für Frieden, Recht und Freiheit – Staatsministerin im Auswärtigen Amt | twittert hier ganz privat"
64,FrStraetmanns,"Ostwestfale seit Geburt! Zur Zeit aktiv in MV, Läufer, Fußballer und Camper .Dies ist mein privater Account!"
65,k_willkomm,"Rechtsanwältin, Aachen, Mitglied Deutscher Bundestag 2017 - 2021, FDP, immer liberal"
66,KirstenKappert,"Bundestagsabgeordnete für Bremen von @die_gruenen, amtierende Vorsitzende des Gesundheitsausschuss #Feminismus #Cannabis #decolonize #Bremen"
67,TillMansmann,"Südhessisches MdB | Entwicklungspolitischer Sprecher @fdpbt | Innovationsbeauftragter ""Grüner Wasserstoff"" @BMBF_Bund | Mitglied im Finanzausschuss"
68,Erhard_Grundl,im #Bundestag für @GrueneBundestag / #Niederbayern/ Sprecher für #Kulturpolitik und #Medienpolitik/ Auswärtige Kultur- & Bildungspolitik/ IG: erhard.grundl
69,JudithSkudelny,Generalsekretärin der FDP BaWü | Mitglied des Deutschen Bundestags | Sprecherin für Umwelt und Verbraucherschutz | Rechtsanwältin | Wahlkreis Stuttgart 1
70,Jacobi_AfD,"Nein.
Nicht F. Jacobi,
ein anderer!"
71,margit_stumpp,
72,MdB_Schreiber,
73,estherdilcher,
74,KatjaMast,"Im Deutschen Bundestag für Pforzheim/Enzkreis, 1. Parlamentarische Geschäftsführerin der SPD-Bundestagsfraktion (@spdbt)."
75,MBiadaczMdB,"🏛 im Bundestag für den Landkreis Böblingen | 🖤 CDUler | 🦾 Digitales, Arbeit & Soziales | 🇪🇺 überzeugter Europäer"
76,busen_mdb,Abgeordneter des Deutschen Bundestages aus dem Münsterland. Mitglied der @fdp & @fdpbt
77,G_UllrichFDP,"Bundestagsabgeordneter, Wirtschaftsausschuss | MdB @fdpbt 🟡 Bundesvorstand @fdp | stv. Landesvorsitzender @fdp_thueringen 🆕 https://t.co/dLbBFjNIXZ"
78,Amira_M_Ali,"Mitglied des Bundestages | Vorsitzende der @Linksfraktion
https://t.co/R8w0c33WAh"
79,MieruchMario,"Dipl.-Ing.(BA) Mechatronik | industrial automation | kämpft für das freie Mandat | Bundesvorsitzender BFA e.V. | DIG Berlin/BBG |
Glaubwürdigkeit & Integrität"
80,Schmidt_MdB,"Oberpfälzer • tourismuspolit. Sprecher @GrueneBundestag | #Verbraucherschutz | nachhaltiger #Tourismus | #Altersvorsorge | #Kommunalfinanzen 
•Team twittert mit"
81,reuther_bernd,"Liberaler MdB | Verkehrspolitischer Sprecher | Mitglied im Sportausschuss | Kreisvorsitzender FDP Wesel |
20. Wahlperiode: Mehr Fortschritt wagen!"
82,axel_knoerig,Vorsitzender der Arbeitnehmergruppe der @cducsubt; Direkt gewählter MdB für den Wahlkreis Diepholz/Nienburg I; Stv. Vorsitzender der @CDA_Bund
83,christophploss,🇪🇺 Leidenschaftlicher Europäer | 🇩🇪 Bundestagsabgeordneter @cducsubt |📍Wahlkreis Hamburg-Nord/Alstertal
84,mdb_freihold,
85,reinholdmdb,Bundestagsabgeordneter für @FDP_MV | Vorsitzender Landesgruppe Ost @fdpbt | Beauftragter für maritime Wirtschaft | Mitglied im Bauausschuss
86,ChrWirthMdB,"Dr. Christian Wirth, für das #Saarland und die #AfD im Bundestag"
87,Martin_Sichert,"Hier twittert Martin Sichert, Gesundheitspolitischer Sprecher der AfD im Deutschen Bundestag"
88,JuergenBraunAfD,"@AfDimBundestag-Abgeordneter | Sprecher für #Menschenrechte, Obmann im Ausschuß für Menschenrechte im #Bundestag; #Umweltausschuß | https://t.co/YlgpsEon92"
89,HartmutEbbing,Mitglied des Deutschen Bundestags - WK Steglitz-Zehlendorf -  Kulturpolitischer Sprecher der @fdpbt und Stellvertretendes Mitglied im Finanzausschuss
90,jensmaierafd,
91,drfriesenmdb,
92,Th_Seitz_AfD,Rechtspolitischer Sprecher der @AfDimBundestag und Mitglied des Kreistages des Ortenaukreises
93,SteffenKotre,MdB 20. Deutscher @Bundestag | Energiepolitscher Sprecher der AfD im Bundestag | Tweets: SK&Team
