X,twitter_handle,example,user_id,party,label
1,TeamPetraPau,hier twittert das Team von Petra Pau/Marzahn-Hellersdorf #mahe  PAUer für die LINKE,1683825126,DIE LINKE,0
11,Linksfraktion,Die soziale Opposition: Feministisch. Sozialistisch. Friedlich. Für dich! 🕊🦺🌳✊,18933321,DIE LINKE,0
22,SusanneFerschl,"MdB DIE LINKE l Stellvertretende Fraktionsvorsitzende I verantwortlich für Arbeit, Soziales und Gesundheit I Gewerkschafterin I @linksfraktion I twittert selbst",1.09606318922933E+018,DIE LINKE,0
27,ClaudiaMollMdB,MdB für die Menschen in der Städteregion Aachen. Mit Leidenschaft in Berlin. Altenpflegefachkraft und Sozi mit Herz.,1.07031222913903E+018,SPD,0
32,jessica_tatti,"Mitglied des Bundestages | Sprecherin für Arbeitsmarkt- und Sozialpolitik @linksfraktion 🚩 Wahlkreis Reutlingen, Baden-Württemberg",1.02029708797022E+018,DIE LINKE,0
63,Amira_M_Ali,Mitglied des Bundestages | Vorsitzende der @Linksfraktion  https://t.co/R8w0c33WAh,9.32029228886065E+017,DIE LINKE,0
116,AkbulutGokay,"MdB @Linksfraktion im Bundestag | Sprecherin für Migration, Familie und bürgerschaftliches Engagement | Federal Parl. Milletvekili | es twittern Gökay & Team",8.00257587510277E+017,DIE LINKE,0
136,ZdebelHubertus,Von 2013-2021 war ich MdB in der #Linksfraktion und deren Sprecher für den Atomausstieg. #dieLinke,2557858122,DIE LINKE,0
139,NorbertMuellerP,sozialistisch - links - demokratisch - antifaschistisch. Hier privat.,2265222913,DIE LINKE,0
121,jankortemdb,1. PGF & kulturpolitischer Sprecher @Linksfraktion. Stellv. Vorsitzender @rosaluxstiftung. Hier twittern Jan & Team.   🐘 @jankorte@social.linksfraktion.de,2162673821,DIE LINKE,0
12,GZickenheiner,Mitglied des Bundestages a.D. @gruenebundestag 🌻 in der 19. Wahlperiode. Wahlkreis Lörrach/Müllheim #Südbaden,1.2018381238212E+018,Bündnis 90/Die Grünen,1
22,ManuelaRottman,"MdB, Grüne, Freilandei, Juristin.  Meinung hier: rein privat",9.82735266783232E+017,Bündnis 90/Die Grünen,1
28,bhoffmann_mdb,"Parl. Staatssekretärin @BMUV, MdB @gruenebundestag, Diplom-Biologin (Dr. rer. nat.), Team-Tweets: T",9.71020122220721E+017,Bündnis 90/Die Grünen,1
51,KatjaKeul,"Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für Frieden, Recht und Freiheit – Staatsministerin im Auswärtigen Amt | twittert hier ganz privat",9.59105206216163E+017,Bündnis 90/Die Grünen,1
52,KirstenKappert,"Bundestagsabgeordnete für Bremen von @die_gruenen, amtierende Vorsitzende des Gesundheitsausschuss #Feminismus #Cannabis #decolonize #Bremen",9.55357682013953E+017,Bündnis 90/Die Grünen,1
56,Erhard_Grundl,im #Bundestag für @GrueneBundestag / #Niederbayern/ Sprecher für #Kulturpolitik und #Medienpolitik/ Auswärtige Kultur- & Bildungspolitik/ IG: erhard.grundl,9.51773879822881E+017,Bündnis 90/Die Grünen,1
65,Schmidt_MdB,Oberpfälzer • tourismuspolit. Sprecher @GrueneBundestag | #Verbraucherschutz | nachhaltiger #Tourismus | #Altersvorsorge | #Kommunalfinanzen   •Team twittert mit,9.30725836282929E+017,Bündnis 90/Die Grünen,1
213,ChrisKuehn_mdb,MdB für #Tübingen | Parlamentarischer Staatssekretär @BMUV | Mitglied @GrueneBundestag  (hier privat),1123130812,Bündnis 90/Die Grünen,1
283,IreneMihalic,MdB aus #Gelsenkirchen | Erste Parlamentarische Geschäftsführerin @GrueneBundestag | Mitglied des Parlamentarischen Kontrollgremiums PKGr #Innenpolitik2Life,123000381,Bündnis 90/Die Grünen,1
289,KaiGehring,Ausschussvorsitzender Bildung & Forschung | Essener Arbeiterkind im Bundestag @gruenebundestag 👉 https://t.co/nwwdK6LgfR,110368256,Bündnis 90/Die Grünen,1
2,TeamDieSchmidt,"Hier tweetet, textet und publiziert das Team der SPD Bundestagsabgeordneten Dagmar Schmidt @dieschmidt (Lahn-Dill-Kreis, Wettenberg, Biebertal).",1377117206,SPD,2
2,schwarz_spd,SPD Bundestagskandidat für Bamberg und Forchheim Andreas Schwarz.,53617577,SPD,2
5,HiltrudLotze,Sozialdemokratin | Lueneburg | Mitglied des Deutschen Bundestages,38272927,SPD,2
6,AfDimBundestag,AfD-Fraktion im Deutschen Bundestag https://t.co/Ykqu1braRO,9.10913583168573E+017,AfD,2
7,spdbt,"Hier twittert der Newsdesk der SPD-Bundestagsfraktion. Impressum, aktuelle Podcast-Folgen und spannende Links: https://t.co/e2l15mSRwd",327792520,SPD,2
